Details,Posting Date,Description,Amount
DEBIT,3/18/2019,POS DEBIT                DD/BR #330329 Q35         LINCOLNWOOD  IL,-2.43
DEBIT,3/18/2019,POS DEBIT                SWEDISH COVENANT PARKIN   CHICAGO      IL,-4
DEBIT,3/18/2019,ORIG CO NAME:PLANET FIT       CO ENTRY DESCR:CLUB FEES  SEC:PPD                        ORIG ID:1710602737,-10
DEBIT,3/18/2019,POS DEBIT                PARKINGMETER5 877242790   CHICAGO      IL,-13
DEBIT,3/18/2019,POS DEBIT                KOHLS 0648 3333 W TOUHY   LINCOLNWOOD  IL,-30.8
DEBIT,3/18/2019,POS DEBIT                LA FITNESS                IRVINE       CA,-34.99
DEBIT,3/18/2019,POS DEBIT                BETH HILLEL CONGREGATIO   847-2561213  IL,-36.08
DEBIT,3/18/2019,POS DEBIT                NORI JAPAN                LINCOLNWOOD  IL,-47.31
DEBIT,3/18/2019,POS DEBIT                KOHLS 0648 3333 W TOUHY   LINCOLNWOOD  IL,-82.47
DEBIT,3/18/2019,POS DEBIT                KOHLS 0648 3333 W TOUHY   LINCOLNWOOD  IL,-82.48
DEBIT,3/18/2019,POS DEBIT                TARGET T- 4466 N BROAD    CHICAGO      IL,-198.43
DEBIT,3/18/2019,POS DEBIT                TARGET T- 4466 N BROAD    CHICAGO      IL,-253.55
DEBIT,3/18/2019,POS DEBIT                TARGET T- 2112 W PETER    CHICAGO      IL,-259.11
DEBIT,3/16/2019,POS DEBIT                LIFE TIME CAFE #128      SKOKIE        IL,-14.41
DEBIT,3/16/2019,POS DEBIT                SMART T*SMART TUITION A  800-3608027   NJ,-25
DEBIT,3/15/2019,BP#8935694LAKE & GREEN WILMETTE IL           03/14,-2.19
DEBIT,3/15/2019,PANERA BREAD #600639 P WILMETTE IL           03/14,-9
DEBIT,3/15/2019,BP#8935694LAKE & GREEN WILMETTE IL           03/14,-29.3
DEBIT,3/14/2019,OBERWEIS SKOKIE SKOKIE IL                    03/13,-18.58
DEBIT,3/14/2019,ATM WITHDRAWAL                       007344  03/142801 DUND,-200
DEBIT,3/13/2019,APL*ITUNES.COM/BILL 866-712-7753 CA          03/13,-2.99
DEBIT,3/13/2019,MEETUP ORG BSC 6M MEETUP.COM NY              03/12,-59.94
DEBIT,3/12/2019,DUNKIN #350099 CHICAGO IL                    03/11,-2.53
DEBIT,3/12/2019,CRAVE KABOB CHICAGO IL                       03/12,-8.78
